1	0.858	0.207	0.210
2	0.670	0.217	0.314
3	0.670	0.311	0.218
4	0.993	0.164	0.167
5	0.790	0.151	0.310
6	0.790	0.306	0.152
7	0.589	0.196	0.383
8	0.588	0.379	0.196
9	1.040	0.240	0.105
10	0.984	0.072	0.110
11	1.056	0.146	0.255
12	1.708	1.057	1.059
13	1.520	1.067	1.164
14	1.519	1.161	1.068
15	1.843	1.013	1.017
16	1.640	1.001	1.159
17	1.640	1.156	1.002
18	1.438	1.046	1.233
19	1.437	1.229	1.046
20	1.889	1.090	0.954
21	1.834	0.921	0.960
22	1.906	0.996	1.104
23	2.540	0.207	3.188
24	2.728	0.217	3.084
25	2.729	0.311	3.180
26	2.405	0.164	3.231
27	2.608	0.151	3.089
28	2.608	0.306	3.246
29	2.809	0.196	3.015
30	2.810	0.379	3.202
31	2.359	0.240	3.293
32	2.414	0.072	3.288
33	2.342	0.146	3.144
34	2.540	3.191	0.210
35	2.728	3.181	0.314
36	2.729	3.087	0.218
37	2.405	3.234	0.167
38	2.608	3.247	0.310
39	2.608	3.092	0.152
40	2.809	3.202	0.383
41	2.810	3.019	0.196
42	2.359	3.158	0.105
43	2.414	3.327	0.110
44	2.342	3.252	0.255
45	0.858	3.191	3.188
46	0.670	3.181	3.084
47	0.670	3.087	3.180
48	0.993	3.234	3.231
49	0.790	3.247	3.089
50	0.790	3.092	3.246
51	0.589	3.202	3.015
52	0.588	3.019	3.202
53	1.040	3.158	3.293
54	0.984	3.327	3.288
55	1.056	3.252	3.144
56	-0.009	1.057	0.640
57	0.180	1.067	0.535
58	0.180	1.161	0.631
59	-0.144	1.013	0.682
60	0.059	1.001	0.540
61	0.060	1.156	0.697
62	0.261	1.046	0.467
63	0.262	1.229	0.653
64	-0.190	1.090	0.745
65	-0.135	0.921	0.739
66	-0.206	0.996	0.595
67	-0.009	0.642	1.059
68	0.180	0.632	1.164
69	0.180	0.538	1.068
70	-0.144	0.686	1.017
71	0.059	0.698	1.159
72	0.060	0.543	1.002
73	0.261	0.653	1.233
74	0.262	0.470	1.046
75	-0.190	0.609	0.954
76	-0.135	0.778	0.960
77	-0.206	0.703	1.104
78	1.708	0.642	0.640
79	1.520	0.632	0.535
80	1.519	0.538	0.631
81	1.843	0.686	0.682
82	1.640	0.698	0.540
83	1.640	0.543	0.697
84	1.438	0.653	0.467
85	1.437	0.470	0.653
86	1.889	0.609	0.745
87	1.834	0.778	0.739
88	1.906	0.703	0.595
89	0.210	0.858	0.207
90	0.314	0.670	0.217
91	0.218	0.670	0.311
92	0.167	0.993	0.164
93	0.310	0.790	0.151
94	0.152	0.790	0.306
95	0.383	0.589	0.196
96	0.196	0.588	0.379
97	0.105	1.040	0.240
98	0.110	0.984	0.072
99	0.255	1.056	0.146
100	0.207	0.210	0.858
101	0.217	0.314	0.670
102	0.311	0.218	0.670
103	0.164	0.167	0.993
104	0.151	0.310	0.790
105	0.306	0.152	0.790
106	0.196	0.383	0.589
107	0.379	0.196	0.588
108	0.240	0.105	1.040
109	0.072	0.110	0.984
110	0.146	0.255	1.056
111	3.188	2.540	0.207
112	3.084	2.728	0.217
113	3.180	2.729	0.311
114	3.231	2.405	0.164
115	3.089	2.608	0.151
116	3.246	2.608	0.306
117	3.015	2.809	0.196
118	3.202	2.810	0.379
119	3.293	2.359	0.240
120	3.288	2.414	0.072
121	3.144	2.342	0.146
122	0.210	2.540	3.191
123	0.314	2.728	3.181
124	0.218	2.729	3.087
125	0.167	2.405	3.234
126	0.310	2.608	3.247
127	0.152	2.608	3.092
128	0.383	2.809	3.202
